author_id,inbound,created_at
sprintcare,False,@115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.
115712,True,@sprintcare and how do you propose we do that
115712,True,@sprintcare I have sent several private messages and no one is responding as usual
sprintcare,False,@115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.
115712,True,@sprintcare I did.
sprintcare,False,"@115712 Can you please send us a private message, so that I can gain further details about your account?"
115712,True,@sprintcare is the worst customer service
sprintcare,False,"@115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC"
115713,True,@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯
sprintcare,False,"@115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA"
115713,True,@sprintcare Since I signed up with you....Since day 1
sprintcare,False,"@115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA"
115713,True,"@115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh."
sprintcare,False,@115715 Please send me a private message so that I can send you the link to access your account. -FR
115715,True,"@115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK"
Ask_Spectrum,False,@115716 What information is incorrect? ^JK
115716,True,@Ask_Spectrum Would you like me to email you a copy of one since Spectrum is not updating your training?
Ask_Spectrum,False,"@115716 Our department is part of the corporate office.  If you're particular area has gone to this format, we were unawa... https://t.co/P7XCmTzPQj"
115716,True,@Ask_Spectrum I received this from your corporate office would you like a copy?
Ask_Spectrum,False,@115716 No thank you. ^JK
115716,True,@Ask_Spectrum The correct way to do it is via an OCS Account Takeover and email Consent Form it does not need to be done in a local office
115716,True,@Ask_Spectrum That is INCORRECT information I have the form in front of me that is faxed over-maybe you need to maintain up to date information
Ask_Spectrum,False,@115716 The information pertaining to the account assumption is correct.  This does need to be done at a local outlet wit... https://t.co/P7XCmTzPQj
115716,True,actually that's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI
Ask_Spectrum,False,"@115717 Hello, My apologies for any frustrations or inconvenience. I’d be happy to look into this for you? ^MG"
115717,True,"Yo @Ask_Spectrum, your customer service reps are super nice— but imma start trippin if y’all don’t get my service going!"
Ask_Spectrum,False,@115718 I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB
115718,True,My picture on @Ask_Spectrum pretty much every day. Why should I pay $171 per month? https://t.co/U6ptkQa5Ik
VerizonSupport,False,"@115719 Help has arrived! We are sorry to see that you are having trouble. How can we help?
^HSB"
115719,True,"@VerizonSupport I finally got someone that helped me, thanks!"
VerizonSupport,False,"@115719 Awesome! If you ever need us we are just a tweet away.
^HSB"
115719,True,somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service
VerizonSupport,False,"@115720 Have your friend message us.
^ACM"
115720,True,@VerizonSupport My friend is without internet we need to play videogames together please our skills diminish every moment without internetz
VerizonSupport,False,"@115721 Please follow and DM us so that we can look into this order. 
^HSB"
115721,True,@VerizonSupport What else can I provide? They refuse to help me because they cannot validate the account...
VerizonSupport,False,"@115721 We would not be able to verify anything without authenticating your account.
^JAY"
